player_name,position,nfl_team_2026,team_changed,offseason_move,injury_status,suspension_note,depth_chart_note,vacated_opportunity_note,notes
Skyy Moore,WR,GB,No,,,,,,No material change identified; deep bench depth piece on Packers' WR room.
Trey McBride,TE,ARI,No,,,,,,"No material change; new HC hire (OC Drew Petzing, who helped make McBride an All-Pro, was promoted) supports his outlook."
Brock Bowers,TE,LV,No,,,,,,No material change; continues to dominate the Raiders' target share.
Colston Loveland,TE,CHI,No,,,,Elevated to Bears' clear TE1 over veteran Cole Kmet entering year 2.,,"No team change, but role solidified as the lead tight end."
Tyler Warren,TE,IND,No,,,,"Confirmed Colts TE1 after a Pro Bowl rookie year (817 yards, led all rookie TEs in targets/catches/yards).",Vacated opportunity: the Michael Pittman Jr. trade to PIT should boost Warren's target share in Indianapolis.,
Tucker Kraft,TE,GB,No,,,,,,No material change identified.
Sam LaPorta,TE,DET,No,,Had offseason back surgery for a herniated disc that limited him to 9 games in 2025; fully cleared and healthy entering 2026 training camp.,,,,Positive health update after an injury-shortened 2025.
George Kittle,TE,SF,No,,,,,,No material change identified.
Travis Kelce,TE,KC,No,"Re-signed for a 14th season on a 1-year, $12M deal with void years; retirement speculation ('the last dance') persists but he has committed to playing 2026.",,,,,"No team change; retirement speculation is a longer-term (not 2026) risk, and he says he is not 'going out like this.'"
T.J. Hockenson,TE,MIN,No,,,,,,No material change identified; no new 2026 injury news found.
Mark Andrews,TE,BAL,No,"Signed a 3-year, $39.3M extension in Dec 2025, ending trade speculation; will remain in Baltimore through at least 2028.",,,,,No team change; contract situation resolved in his favor.
David Njoku,TE,LAC,Yes,Signed with the Chargers in free agency after leaving Cleveland.,"Fully healthy from a left PCL sprain suffered in Week 14, 2025; was a full participant in OTAs/minicamp with no lingering effects.",,"Becomes the Chargers' presumed starting TE, though a rookie TE is seen as the long-term heir apparent.",,Team change CLE->LAC.
Dalton Kincaid,TE,BUF,No,,"Dealing with recurring left knee soreness; missed a training camp practice per HC Sean McDermott, though not viewed as long-term.",,,,Monitor knee durability - has been a recurring issue throughout his young career.
Evan Engram,TE,DEN,No,,,,"Remains Broncos' primary TE despite a down 2025 (50 catches, 461 yards, 1 TD); Denver added two Day 3 rookie TEs as depth.",,"No material change to starting role, but per-target efficiency was a concern in 2025."
Jonnu Smith,TE,Free agent,Yes,Released by the Steelers in March 2026 after one disappointing season (had been traded there from Miami in June 2025); unsigned per the most recent reports.,,,,,Team change - no longer on the Pittsburgh roster; monitor for a new signing.
Dallas Goedert,TE,PHI,No,"Re-signed with the Eagles for another season, though his long-term future beyond 2026 is described as unclear.",,,,,No team change for 2026.
Zach Ertz,TE,Free agent,Yes,,"Tore his ACL in Week 14, 2025 vs. Minnesota; plans to play a 14th season and is expected to be cleared right around Week 1.",,,,Still finding a team as of camp (potential Eagles reunion or a return to Washington mentioned); real Week 1 availability risk given the ACL recovery timeline.
Cade Otton,TE,TB,No,,,,,,No material change identified.
Hunter Henry,TE,LAC,No,,,,"Aging veteran; a rookie TE drafted by the Chargers is seen as the long-term heir apparent, though Henry remains the starter for now.",,No material change to 2026 role.
Pat Freiermuth,TE,PIT,No,,,,,,No material change identified.
Chig Okonkwo,TE,TEN,No,,,,,,No material change identified.
Isaiah Likely,TE,BAL,No,,,,,,No material change identified.
Cole Kmet,TE,CHI,No,,,,"Now clearly TE2 behind 2nd-year Colston Loveland, though the Bears' heavy 12/13-personnel usage should keep him relevant.",,Demoted role: no longer Bears' clear starting/lead tight end.
Juwan Johnson,TE,NO,No,,,,,,No material change identified; Saints also added veteran TE Noah Fant in free agency for depth/competition.
Noah Fant,TE,NO,Yes,"Signed a 2-year, $8.75M deal with the Saints in March 2026.",,,Competes with/behind Juwan Johnson in New Orleans' TE room.,,Team change -> NO.
Luke Musgrave,TE,GB,No,,,,,,No material change identified.
Brenton Strange,TE,JAX,No,,,,,,"No material change identified; deep bench, not closely researched."
Ja'Tavion Sanders,TE,CAR,No,,,,,,"No material change identified; deep bench, not closely researched."
Elijah Arroyo,TE,SEA,No,,,,,,"No material change identified; deep bench, not closely researched (2025 rookie)."
Terrance Ferguson,TE,LAR,No,,,,,,"No material change identified; deep bench, not closely researched."
Harold Fannin Jr.,TE,CLE,No,,,,,,"No material change identified; deep bench, not closely researched (2025 rookie)."
Mason Taylor,TE,NYG,No,,,,Part of a Giants TE room in a pass-catcher-needy offense; team also added a rookie TE in the draft.,,"No material change; deep bench, not closely researched."
Gunnar Helm,TE,TEN,No,,,,,,"No material change identified; deep bench, not closely researched (rookie)."
Broncos,DEF,DEN,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Steelers,DEF,PIT,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Eagles,DEF,PHI,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Vikings,DEF,MIN,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Ravens,DEF,BAL,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Bills,DEF,BUF,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Texans,DEF,HOU,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Rams,DEF,LAR,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
49ers,DEF,SF,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Packers,DEF,GB,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Jets,DEF,NYJ,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Bears,DEF,CHI,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Chiefs,DEF,KC,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Lions,DEF,DET,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Cardinals,DEF,ARI,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Patriots,DEF,NE,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Buccaneers,DEF,TB,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Colts,DEF,IND,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Chargers,DEF,LAC,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Seahawks,DEF,SEA,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Commanders,DEF,WAS,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Cowboys,DEF,DAL,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Bengals,DEF,CIN,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Dolphins,DEF,MIA,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Browns,DEF,CLE,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Raiders,DEF,LV,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Titans,DEF,TEN,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Jaguars,DEF,JAX,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Falcons,DEF,ATL,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Panthers,DEF,CAR,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Saints,DEF,NO,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
Giants,DEF,NYG,No,,,,,,Team defense/special teams unit - out of scope for player-level research per task instructions; consult team_context file for coaching/scheme notes.
